City,Facility,Address,Neighbourhood
Bowen Island,Bowen Children's Centre Childcare,NULL,NULL
Bowen Island,Bowen Island Kinderhaus,NULL,NULL
Brackendale,Brackendale Out of School Care,NULL,NULL
Brackendale,Garibaldi Highlands Out of School Care,NULL,NULL
Brackendale,Mamquam Out of School Care,NULL,NULL
Burnaby,Bee Daycare,NULL,NULL
Burnaby,Brentwood Nursery School,NULL,NULL
Burnaby,Burnaby South Child Care Centre,NULL,NULL
Burnaby,Cascade Heights YMCA Childcare + Kid's Club,NULL,NULL
Burnaby,Fairhaven Children's Centre,NULL,NULL
Burnaby,Metrotown YMCA Child Care,NULL,NULL
Burnaby,Montecito Child Care Center,NULL,NULL
Burnaby,Morley Child Care Centre,NULL,NULL
Burnaby,Ritchie Bros. Auctioneers Child Care,NULL,NULL
Burnaby,SFU Childcare Society,NULL,NULL
Burnaby,Variety Cariboo Children's Centre,NULL,NULL
Coquitlam,Hami's Playhouse Infant & Toddler,NULL,NULL
Coquitlam,Kid's Cottage Daycare Society,NULL,NULL
Coquitlam,Little Scholars YMCA Child Care,NULL,NULL
Coquitlam,Shining Star Daycare,NULL,NULL
Coquitlam,Step Together Learning Centre,NULL,NULL
Delta,Happy Castle Child Care,NULL,NULL
Gibsons,Esprit Daycare,NULL,NULL
Gibsons,Gibsons YMCA Childcare,NULL,NULL
Gibsons,Huckleberry Childcare,NULL,NULL
New Westminster,K.I.D.S. Childcare Victoria Hill Location,NULL,NULL
New Westminster,Kids Zone Family Daycare,NULL,NULL
North Vancouver,Capilano University Children's Centre - Class 2,NULL,NULL
North Vancouver,Highlands Early Learning Centre,NULL,NULL
North Vancouver,North Shore Neighbourhood House,NULL,NULL
North Vancouver,North Shore Neighbourhood House Novaco Daycare,NULL,NULL
North Vancouver,NSNH - Centreview Child Care Centre,NULL,NULL
North Vancouver,NSNH - Learning Together Child Care Centre,NULL,NULL
North Vancouver,Parkgate Child and Family Centre,NULL,NULL
North Vancouver,Seymour Heights Play-Based Programs,NULL,NULL
North Vancouver,Seymour School Aged Care,NULL,NULL
North Vancouver,Sutherland Early Learning Childcare Centre,NULL,NULL
North Vancouver,Tsleil-Waututh Child & Family Development Centre,NULL,NULL
Pemberton,Pemberton Out of School Care,NULL,NULL
