AVG_TAX_LEVY,AVG_LAND_VALUE,POSTAL_CODE,LATITUDE,LONGITUDE
0.0,34655000.0,V5K0A1,49.289956,-123.040784
7496.25,1675000.0,V5K0A2,49.285089,-123.028235
7438.24,1562000.0,V5K0A8,49.2833669,-123.040943
7912.91,1553000.0,V5K0B1,49.2643739,-122.995213
7121.06,1540000.0,V5K0B2,49.281102,-123.039152
7612.88,1562000.0,V5K0B5,49.279338,-123.0411
5502.87,1286000.0,V5K0B7,49.279338,-123.0411
7724.98,1450000.0,V5K0E4,49.2756635,-123.0572073
10067.7,1675000.0,V5K0E6,49.279352,-123.0283032
5286.2,1170000.0,V5K0G9,49.2770457,-123.0546533
4820.67,991000.0,V5K0H1,49.2770457,-123.0546533
5042.83,996000.0,V5K0H4,49.2773495,-123.0467944
144934.0,14366000.0,V5K0H6,49.2767328,-123.023719
9571.2025,2406025.0,V5K1A4,49.291182,-123.054261
8290.28,1878666.6666666667,V5K1A5,49.291167,-123.054331
10358.33111111111,2591000.0,V5K1A6,49.291516,-123.053031
10728.845555555556,2254888.888888889,V5K1A7,49.2918024,-123.0516994
9451.2,2163000.0,V5K1A8,49.292138,-123.049078
9474.826666666666,2226083.3333333335,V5K1A9,49.2921685,-123.0488141
7754.196875,1685312.5,V5K1B1,49.291624,-123.046615
7905.919999999999,1675545.4545454546,V5K1B2,49.291594,-123.046465
6839.55,1551000.0,V5K1B3,49.289805,-123.042281
10070.5,2052000.0,V5K1B4,49.289631,-123.042028
7971.25,1751037.0,V5K1B7,49.291529,-123.024171
8732.922857142858,1949285.7142857143,V5K1B8,49.290743,-123.05586
7428.595625,1715723.625,V5K1B9,49.290769,-123.054277
9529.335000000001,2310000.0,V5K1C1,49.290769,-123.052782
8469.443333333333,1921266.6666666667,V5K1C3,49.2908214,-123.0491512
7958.894285714286,1754714.2857142857,V5K1C4,49.290771,-123.048972
7598.31,1584466.2,V5K1C5,49.290766,-123.04657
8257.833571428571,1806571.4285714286,V5K1C6,49.2908221,-123.0464316
8534.136,1836360.0,V5K1C7,49.290766,-123.025134
9597.277142857143,2072742.857142857,V5K1C8,49.2907671,-123.025199
8021.5216666666665,1832166.6666666667,V5K1C9,49.2898177,-123.0559012
8454.111428571428,1781571.4285714286,V5K1E1,49.2898166,-123.0556404
8035.088571428571,1792142.857142857,V5K1E2,49.2898112,-123.0542837
7602.870833333333,1706166.6666666667,V5K1E3,49.2898108,-123.0541511
7918.0306666666675,1728570.5333333334,V5K1E4,49.2898039,-123.0516325
8022.649230769231,1763414.076923077,V5K1E5,49.289804,-123.0514478
7197.981333333333,1717266.6666666667,V5K1E6,49.2898046,-123.0491235
7556.8933333333325,1686466.6666666667,V5K1E7,49.2898042,-123.0489881
7902.327333333334,1711066.6666666667,V5K1E8,49.289774,-123.046624
8103.826923076923,1777384.6153846155,V5K1E9,49.2897965,-123.0463881
8895.427142857143,1826571.4285714286,V5K1G1,49.289736,-123.043949
7640.245833333333,1694933.3333333333,V5K1G2,49.289736,-123.043914
5307.4400000000005,1244000.0,V5K1G3,49.28985,-123.025917
9333.18,1814000.0,V5K1G4,49.2897799,-123.0256944
9990.353333333334,2151333.3333333335,V5K1G5,49.289864,-123.025257
8488.451428571429,1916428.5714285714,V5K1G6,49.289865,-123.025215
4219.0813333333335,946725.4666666667,V5K1G7,49.28879,-123.056331
6504.06875,1453000.0,V5K1G8,49.2888505,-123.0559412
6706.072,1455833.1333333333,V5K1G9,49.28877,-123.054168
7041.449333333334,1460333.3333333333,V5K1H1,49.28877,-123.054263
7084.2553333333335,1454400.0,V5K1H2,49.2888699,-123.0516189
6714.250714285714,1455928.5714285714,V5K1H3,49.2888693,-123.051698
6517.009375,1405712.8125,V5K1H4,49.28879,-123.0493
6806.999375,1443225.0,V5K1H5,49.2888877,-123.049163
6121.706666666667,1238344.4444444445,V5K1H6,49.2888976,-123.0465496
6529.514444444444,1368500.0,V5K1H7,49.288774,-123.046586
7478.340666666667,1539000.0,V5K1H8,49.288945,-123.044008
8529.188333333334,1807833.3333333333,V5K1J1,49.2888095,-123.026355
10996.978,2075960.0,V5K1J2,49.2888076,-123.026242
9584.282857142856,2186571.4285714286,V5K1J3,49.2887948,-123.0253913
8627.535555555556,1747382.6666666667,V5K1J4,49.28884,-123.025325
7819.52625,1791625.0,V5K1J5,49.2876972,-123.0564497
7511.411,1672500.0,V5K1J6,49.287807,-123.056525
8144.486153846155,1740692.3076923077,V5K1J7,49.287801,-123.054262
7609.163333333333,1686000.0,V5K1J8,49.287801,-123.054214
7689.82125,1681437.5,V5K1J9,49.287781,-123.051589
7540.710588235294,1619941.1764705882,V5K1K1,49.287781,-123.051634
7634.250769230769,1684538.4615384615,V5K1K2,49.287762,-123.049279
